,Interval_length,group
0,2.80983326323772,CSSA-M
0,3.23875461797615,CSSA-M
0,3.26658280897888,CSSA-M
0,2.79200182392206,CSSA-M
0,2.96318834854992,CSSA-M
0,3.15771591296175,CSSA-M
0,3.15866555357316,CSSA-M
0,2.64435853950445,CSSA-M
0,2.74552276452778,CSSA-M
0,3.06654017570064,CSSA-M
0,3.07740161277317,CSSA-M
0,2.98996103983241,CSSA-M
0,3.27952573895094,CSSA-M
0,2.94867245983294,CSSA-M
0,2.53517352911194,CSSA-M
0,3.13880493623601,CSSA-M
0,2.99669512828641,CSSA-M
0,2.98671665773502,CSSA-M
0,3.32700715984244,CSSA-M
0,2.67637832055636,CSSA-M
